country,datadate,ew_return,vw_return,period
GBR,2020-05-31,0.0006130603932686,0.0115817280181054,Crisis
GBR,2020-06-30,-0.0096510916221482,0.0101410961695047,Crisis
GBR,2020-07-31,-0.0163537530073493,-0.0077960077509185,Crisis
GBR,2020-08-31,0.0251177737850216,0.0036736597086836,Crisis
GBR,2020-09-30,-0.0333967900874101,-0.0099068407704029,Crisis
GBR,2020-10-31,-0.0201187806826663,0.0336513983767848,Crisis
GBR,2020-11-30,0.0623286215959522,0.0381936974141218,Crisis
GBR,2020-12-31,0.0115228020625857,-0.0784013845499183,Crisis
GBR,2021-01-31,-0.0105483990547054,-0.1023630877001043,Crisis
GBR,2021-02-28,0.0072337646815899,-0.0721547222299828,Crisis
GBR,2021-03-31,-0.0008032951885022,-0.0682630430060502,Crisis
GBR,2021-04-30,0.0113787547110061,-0.0590849226921458,Crisis
GBR,2021-05-31,-0.0221288736489741,-0.1197173129699933,Crisis
GBR,2021-06-30,-0.0298582714884298,-0.1168910586010108,Crisis
GBR,2021-07-31,-0.0296318256702073,-0.0830120624018413,Crisis
GBR,2021-08-31,-0.0103472132743643,-0.1020559497951731,Crisis
GBR,2021-09-30,-0.0368101621767526,-0.1064892006139945,Crisis
GBR,2021-10-31,-0.0289432785584679,-0.0794554651547197,Crisis
GBR,2021-11-30,-0.0502889773642674,-0.0806174139308161,Crisis
GBR,2021-12-31,-0.0169388431407431,-0.0682596480273479,Crisis
GBR,2022-01-31,-0.0498553729981062,-0.0987442060793495,Recovery
GBR,2022-02-28,-0.0556227651973902,-0.0988437094973057,Recovery
GBR,2022-03-31,-0.0289933226577941,-0.0554919237917319,Recovery
GBR,2022-04-30,-0.0291107152238243,-0.0815799199292614,Recovery
GBR,2022-05-31,-0.0494041390767268,-0.0514989353675455,Recovery
GBR,2022-06-30,-0.0789044835951512,-0.1037999308212799,Recovery
GBR,2022-07-31,-0.0140984844968234,-0.0781870209249146,Recovery
GBR,2022-08-31,-0.0452516818289551,-0.070585348520944,Recovery
GBR,2022-09-30,-0.0838662952898431,-0.0731240138835539,Recovery
GBR,2022-10-31,-0.020494445349226,-0.0460468892302696,Recovery
GBR,2022-11-30,-0.0060661784975585,-0.1295693381887481,Recovery
GBR,2022-12-31,-0.0440436433495284,-0.1506560610462374,Recovery
GBR,2023-01-31,-0.009284818687725,-0.1257075678677745,Recovery
GBR,2023-02-28,-0.0324550045254533,-0.1183892812779316,Recovery
GBR,2023-03-31,-0.0622870028184575,-0.1334063946934362,Recovery
